City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,Ilulissat,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
87,Gannan,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:08
88,Avdon,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:08
89,Taolanaro,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
90,Aviles,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
91,Tsihombe,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
92,Alta Floresta,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
93,Tazovskiy,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:08
94,Butaritari,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
95,Sao Filipe,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:08
96,Boyolangu,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:08
97,Lagoa,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
98,Tuktoyaktuk,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:08
99,Bethel,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
100,Kirakira,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
101,Kodiak,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
102,Mahibadhoo,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
103,Sentyabrskiy,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
104,Cootamundra,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
105,Fairbanks,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
106,Turukhansk,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
107,Drumheller,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
108,Khatanga,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:09
109,Vila Velha,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:08
110,Tahoua,14.3122,121.1114,80.01,73,75,2.3,PH,2021-01-14 01:12:08
