City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Puerto Colombia,10.9878,-74.9547,78.8,83,20,10.36,CO,2021-01-14 02:46:42
92,Hermanus,-34.4187,19.2345,70.0,85,82,5.01,ZA,2021-01-14 02:46:42
93,Namibe,-15.1961,12.1522,71.85,69,100,3.02,AO,2021-01-14 02:46:42
94,Phuket,8.0,98.25,82.99,65,20,11.5,TH,2021-01-14 02:43:20
95,Marawi,7.9986,124.2928,77.99,81,99,2.89,PH,2021-01-14 02:46:42
96,Pak Phanang,8.3511,100.202,78.8,89,40,3.44,TH,2021-01-14 02:46:42
97,Naryan-Mar,67.6713,53.087,-9.89,85,94,12.19,RU,2021-01-14 02:44:34
98,Sao Desiderio,-12.3633,-44.9733,70.27,83,10,2.8,BR,2021-01-14 02:46:42
99,Burnie,-41.0667,145.9167,70.0,50,58,5.99,AU,2021-01-14 02:45:07
100,Talara,-4.5772,-81.2719,72.25,83,53,15.26,PE,2021-01-14 02:46:42
101,Boke,10.9409,-14.2967,68.14,89,86,0.63,GN,2021-01-14 02:46:43
102,Manado,1.487,124.8455,89.6,66,40,4.61,ID,2021-01-14 02:46:43
103,Sistranda,63.7256,8.834,19.4,79,20,14.97,NO,2021-01-14 02:46:43
104,Iquique,-20.2208,-70.1431,71.6,60,90,9.22,CL,2021-01-14 02:42:04
105,Mahebourg,-20.4081,57.7,77.0,88,75,6.91,MU,2021-01-14 02:46:43
106,Busia,0.4544,34.0758,65.52,65,3,4.85,UG,2021-01-14 02:46:43
107,Aswan,24.0934,32.907,60.48,44,1,11.68,EG,2021-01-14 02:46:43
108,Clyde River,70.4692,-68.5914,-4.0,84,90,9.22,CA,2021-01-14 02:46:43
109,Melendugno,40.2747,18.3368,44.01,81,20,11.5,IT,2021-01-14 02:46:43
110,Vestmanna,62.1564,-7.1664,39.2,81,40,24.16,FO,2021-01-14 02:46:43
111,Haines Junction,60.7522,-137.5108,5.0,85,33,1.14,CA,2021-01-14 02:46:43
112,Zalantun,48.0,122.7167,-2.99,79,0,4.59,CN,2021-01-14 02:46:43
113,Mataura,-46.1927,168.8643,77.0,47,4,5.91,NZ,2021-01-14 02:46:43
114,Saskylakh,71.9167,114.0833,-45.96,75,64,9.26,RU,2021-01-14 02:44:14
115,Longyearbyen,78.2186,15.6401,17.6,86,75,8.05,SJ,2021-01-14 02:45:09
116,Talnakh,69.4865,88.3972,-27.47,77,1,7.92,RU,2021-01-14 02:46:43
117,Hualmay,-11.0964,-77.6139,70.48,86,97,6.67,PE,2021-01-14 02:46:43
118,Carnarvon,-24.8667,113.6333,84.2,74,50,14.97,AU,2021-01-14 02:46:44
119,Constitucion,-35.3333,-72.4167,53.17,76,0,10.47,CL,2021-01-14 02:46:44
120,Wilmington,34.2257,-77.9447,46.4,87,40,3.44,US,2021-01-14 02:46:11
121,Venado Tuerto,-33.7456,-61.9688,70.0,48,0,10.0,AR,2021-01-14 02:46:44
122,Gunjur,13.2019,-16.7339,69.8,60,0,11.5,GM,2021-01-14 02:46:44
123,Zhigansk,66.7697,123.3711,-41.13,79,75,11.23,RU,2021-01-14 02:45:39
124,Sitka,57.0531,-135.33,37.4,87,90,8.05,US,2021-01-14 02:46:44
125,Punta Arenas,-53.15,-70.9167,53.6,71,90,11.5,CL,2021-01-14 02:42:06
126,Kysyl-Syr,63.8986,122.7617,-34.91,82,98,7.85,RU,2021-01-14 02:41:45
127,Hilo,19.7297,-155.09,80.6,61,20,3.44,US,2021-01-14 02:42:05
128,Victoria,22.2855,114.1577,64.0,39,2,7.14,HK,2021-01-14 02:43:20
129,Mahanoro,-19.9,48.8,77.41,86,16,5.73,MG,2021-01-14 02:46:44
130,Cidreira,-30.1811,-50.2056,70.54,72,29,14.88,BR,2021-01-14 02:46:44
131,Vaini,-21.2,-175.2,86.0,79,40,8.05,TO,2021-01-14 02:46:44
132,Kenitra,34.261,-6.5802,42.8,93,0,3.42,MA,2021-01-14 02:46:44
133,Provideniya,64.3833,-173.3,5.0,72,75,6.71,RU,2021-01-14 02:46:44
134,Faanui,-16.4833,-151.75,81.63,74,79,16.08,PF,2021-01-14 02:46:44
135,Havre-Saint-Pierre,50.2334,-63.5986,19.4,86,90,3.44,CA,2021-01-14 02:46:45
136,Salihorsk,52.7876,27.5415,18.66,98,98,7.2,BY,2021-01-14 02:46:45
137,Salinas,36.6777,-121.6555,62.6,59,1,6.91,US,2021-01-14 02:43:00
138,Catamarca,-28.4696,-65.7852,64.0,89,23,7.87,AR,2021-01-14 02:46:45
139,Pachperwa,27.5167,82.65,55.35,67,0,1.45,IN,2021-01-14 02:46:45
140,Starotimoshkino,53.7191,47.5312,9.95,95,100,16.8,RU,2021-01-14 02:46:45
141,Kroya,-7.6331,109.2461,80.78,78,100,3.31,ID,2021-01-14 02:44:59
142,Ribeira Grande,38.5167,-28.7,63.23,83,68,19.62,PT,2021-01-14 02:46:45
143,Trinidad,-14.8333,-64.9,75.49,93,100,1.99,BO,2021-01-14 02:46:45
144,Chino,34.0122,-117.6889,64.4,17,1,4.61,US,2021-01-14 02:46:45
145,Los Llanos De Aridane,28.6585,-17.9182,64.4,55,90,8.05,ES,2021-01-14 02:46:45
146,Grindavik,63.8424,-22.4338,39.2,87,40,13.8,IS,2021-01-14 02:46:45
147,Maneadero,31.7167,-116.5667,55.99,77,0,1.1,MX,2021-01-14 02:46:45
148,Bayji,34.9311,43.487,55.02,44,100,12.41,IQ,2021-01-14 02:46:45
149,Scarborough,54.2797,-0.4044,33.01,93,100,6.8,GB,2021-01-14 02:45:50
150,Douentza,14.9951,-2.9517,65.73,23,29,4.27,ML,2021-01-14 02:46:45
151,Dolores,-36.3132,-57.6792,58.96,65,1,7.27,AR,2021-01-14 02:46:45
152,Morant Bay,17.8815,-76.4093,80.6,61,20,3.44,JM,2021-01-14 02:46:45
153,Kalat,29.0225,66.5916,38.64,36,71,0.98,PK,2021-01-14 02:46:46
154,Baltiysk,54.6538,19.911,30.2,93,90,8.95,RU,2021-01-14 02:46:46
155,Upernavik,72.7868,-56.1549,10.24,96,100,16.24,GL,2021-01-14 02:46:46
156,Belaya Gora,68.5333,146.4167,-33.18,83,100,3.87,RU,2021-01-14 02:46:46
157,Kodiak,57.79,-152.4072,32.0,86,40,3.44,US,2021-01-14 02:46:46
158,Vardo,70.3705,31.1107,21.43,96,100,18.86,NO,2021-01-14 02:46:46
159,Port Hedland,-20.3167,118.5667,111.2,15,0,11.5,AU,2021-01-14 02:46:46
160,Leningradskiy,69.3833,178.4167,-7.19,90,100,3.56,RU,2021-01-14 02:46:46
161,Ahipara,-35.1667,173.1667,71.92,68,15,6.76,NZ,2021-01-14 02:46:46
162,Karlstad,59.3793,13.5036,19.4,93,90,12.66,SE,2021-01-14 02:46:46
163,Rozkishne,48.5074,39.3004,28.17,96,100,7.23,UA,2021-01-14 02:46:46
164,Khatanga,71.9667,102.5,-36.54,81,97,12.77,RU,2021-01-14 02:46:46
165,Otavalo,0.2333,-78.2667,57.2,88,75,4.61,EC,2021-01-14 02:46:46
166,Darhan,49.4867,105.9228,-5.82,86,99,2.04,MN,2021-01-14 02:46:46
167,Mounana,-1.4085,13.1586,67.68,95,91,2.89,GA,2021-01-14 02:46:46
168,Ust-Nera,64.5667,143.2,-24.74,75,100,2.53,RU,2021-01-14 02:46:46
169,Ulaanbaatar,47.9077,106.8832,-18.4,69,95,2.24,MN,2021-01-14 02:44:03
170,Hamilton,39.1834,-84.5333,41.0,65,1,4.61,US,2021-01-14 02:43:33
171,Grand Gaube,-20.0064,57.6608,80.01,77,5,3.0,MU,2021-01-14 02:42:21
172,Gisborne,-38.6533,178.0042,73.99,67,51,8.01,NZ,2021-01-14 02:43:29
173,Tyrma,50.0833,132.1667,-3.82,85,94,4.79,RU,2021-01-14 02:46:47
174,Cabo San Lucas,22.8909,-109.9124,64.4,55,1,9.22,MX,2021-01-14 02:45:56
175,Kalevala,65.2,31.1667,-18.04,88,2,1.16,RU,2021-01-14 02:46:47
176,Necochea,-38.5473,-58.7368,57.99,80,25,15.41,AR,2021-01-14 02:46:47
177,Cockburn Town,21.4612,-71.1419,77.72,79,1,19.04,TC,2021-01-14 02:46:47
178,Lagoa,39.05,-27.9833,61.02,91,82,18.14,PT,2021-01-14 02:45:37
