City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Cidreira,BR,2021-01-10 13:26:13,-30.1811,-50.2056,78.48,77,25,12.01
121,Chiredzi,ZW,2021-01-10 13:26:13,-21.05,31.6667,90.01,48,31,8.25
122,Mgachi,RU,2021-01-10 13:26:13,51.05,142.2667,-9.89,89,100,4.18
123,Saldanha,ZA,2021-01-10 13:26:13,-33.0117,17.9442,78.8,36,0,21.85
124,Luanda,AO,2021-01-10 13:25:16,-8.8368,13.2343,86.0,58,20,10.36
125,Ribeira Grande,PT,2021-01-10 13:26:13,38.5167,-28.7,60.8,100,75,17.27
126,Karratha,AU,2021-01-10 13:26:13,-20.7377,116.8463,92.79,46,0,8.88
127,Kalianget,ID,2021-01-10 13:26:13,-7.05,113.9333,80.74,82,100,7.23
128,Miyako,JP,2021-01-10 13:26:13,39.6367,141.9525,19.96,89,4,5.21
129,Altay,CN,2021-01-10 13:26:13,47.8667,88.1167,4.75,74,100,1.14
130,Codrington,AU,2021-01-10 13:26:13,-38.2667,141.9667,68.4,59,64,7.2
131,Clyde River,CA,2021-01-10 13:26:13,70.4692,-68.5914,3.2,85,75,13.8
132,Tuatapere,NZ,2021-01-10 13:26:13,-46.1333,167.6833,54.0,73,100,14.0
133,Alice Springs,AU,2021-01-10 13:24:03,-23.7,133.8833,80.6,32,0,5.75
134,Harper,LR,2021-01-10 13:26:13,4.375,-7.7169,82.87,77,62,8.08
135,Maningrida,AU,2021-01-10 13:26:13,-12.0667,134.2667,81.82,83,100,2.1
136,Deputatskiy,RU,2021-01-10 13:26:13,69.3,139.9,-26.5,86,100,3.06
137,Acari,PE,2021-01-10 13:26:13,-15.4311,-74.6158,74.07,59,96,4.72
138,Bambous Virieux,MU,2021-01-10 13:26:13,-20.3428,57.7575,82.99,89,75,11.5
139,Katsuura,JP,2021-01-10 13:26:14,35.1333,140.3,44.6,42,75,4.61
140,Hobyo,SO,2021-01-10 13:26:14,5.3505,48.5268,77.97,63,0,23.33
141,Kavieng,PG,2021-01-10 13:26:14,-2.5744,150.7967,82.89,73,100,3.85
142,Vanimo,PG,2021-01-10 13:26:14,-2.6741,141.3028,79.99,79,100,3.06
143,Inhambane,MZ,2021-01-10 13:21:17,-23.865,35.3833,89.6,62,75,6.91
144,Shakiso,ET,2021-01-10 13:26:14,5.75,38.9167,79.43,26,58,1.23
145,Cochrane,CA,2021-01-10 13:26:10,51.1834,-114.4687,39.2,59,75,12.66
146,Viransehir,TR,2021-01-10 13:26:14,37.2353,39.7631,56.75,34,0,4.7
147,Shaowu,CN,2021-01-10 13:26:14,27.3409,117.4831,35.51,77,96,3.18
148,Bluff,NZ,2021-01-10 13:26:14,-46.6,168.3333,54.0,73,100,14.0
149,Ghanzi,BW,2021-01-10 13:26:14,-21.5667,21.7833,84.83,46,100,7.67
150,Alta Floresta,BR,2021-01-10 13:26:14,-9.8756,-56.0861,82.4,74,40,4.61
151,Catabola,AO,2021-01-10 13:26:14,-12.15,17.2833,73.85,75,98,3.42
152,Pontianak,ID,2021-01-10 13:23:52,-0.0333,109.3333,77.0,94,75,5.75
153,Batagay,RU,2021-01-10 13:26:14,67.6333,134.6333,-23.66,85,100,0.81
154,Kodiak,US,2021-01-10 13:23:57,57.79,-152.4072,41.0,87,90,27.63
155,Saint George,US,2021-01-10 13:24:14,37.1041,-113.5841,28.4,64,1,3.67
156,Poum,NC,2021-01-10 13:26:15,-20.2333,164.0167,83.46,82,100,7.74
157,Tanout,NE,2021-01-10 13:26:15,14.9709,8.8879,90.57,10,0,18.32
158,Muros,ES,2021-01-10 13:26:15,42.7762,-9.0603,51.01,55,0,7.0
159,Ucluelet,CA,2021-01-10 13:26:15,48.9329,-125.5528,46.0,92,100,3.0
160,Geraldton,AU,2021-01-10 13:26:15,-28.7667,114.6,71.6,73,0,21.85
161,Alofi,NU,2021-01-10 13:26:15,-19.0595,-169.9187,73.4,94,90,3.44
162,Mahebourg,MU,2021-01-10 13:26:15,-20.4081,57.7,80.6,89,75,11.5
163,Cairns,AU,2021-01-10 13:25:18,-16.9167,145.7667,79.0,89,90,5.75
164,Hoquiam,US,2021-01-10 13:26:15,46.9809,-123.8893,43.0,87,90,9.22
165,Zambezi,ZM,2021-01-10 13:26:15,-13.5432,23.1047,79.83,67,100,8.05
166,Eureka,US,2021-01-10 13:26:15,40.8021,-124.1637,50.0,93,99,6.06
167,Hirara,JP,2021-01-10 13:26:15,24.8,125.2833,62.06,75,47,24.34
168,Lavrentiya,RU,2021-01-10 13:26:15,65.5833,-171.0,-13.83,84,0,9.66
169,Mongar,BT,2021-01-10 13:26:15,27.2747,91.2396,48.9,93,96,0.11
170,Ranong,TH,2021-01-10 13:26:15,9.9658,98.6348,80.6,74,20,6.91
171,Pran Buri,TH,2021-01-10 13:22:25,12.3847,99.9098,75.99,67,29,2.42
172,Waingapu,ID,2021-01-10 13:26:15,-9.6567,120.2641,82.26,79,41,1.83
173,Salalah,OM,2021-01-10 13:26:16,17.0151,54.0924,75.2,38,0,9.22
174,Saint-Louis,SN,2021-01-10 13:26:16,16.3333,-15.0,73.4,40,37,16.11
175,Saint-Georges,GD,2021-01-10 13:24:12,12.0564,-61.7485,82.4,74,20,23.02
176,Tarko-Sale,RU,2021-01-10 13:26:16,64.9225,77.785,-28.52,85,36,10.29
177,Vardo,NO,2021-01-10 13:26:16,70.3705,31.1107,15.8,79,75,11.5
178,Ambilobe,MG,2021-01-10 13:26:16,-13.2,49.05,82.29,78,72,5.68
179,Vaitape,PF,2021-01-10 13:26:16,-16.5167,-151.75,80.55,71,100,11.63
180,Avarua,CK,2021-01-10 13:26:16,-21.2078,-159.775,77.0,88,75,4.61
181,Buala,SB,2021-01-10 13:25:15,-8.145,159.5921,82.29,79,37,6.42
182,Saint Anthony,US,2021-01-10 13:26:16,45.0205,-93.218,25.0,86,90,5.75
183,Aykhal,RU,2021-01-10 13:26:16,66.0,111.5,-32.67,81,100,6.53
184,Cherskiy,RU,2021-01-10 13:26:16,68.75,161.3,-28.41,85,99,4.27
185,Antofagasta,CL,2021-01-10 13:26:16,-23.65,-70.4,66.2,77,75,8.05
186,Dymer,UA,2021-01-10 13:26:16,50.7865,30.3026,34.0,75,94,8.95
187,Kaitangata,NZ,2021-01-10 13:26:16,-46.2817,169.8464,53.01,70,100,10.0
188,Galveston,US,2021-01-10 13:26:16,29.3669,-94.9669,50.0,76,90,14.97
189,Te Anau,NZ,2021-01-10 13:26:16,-45.4167,167.7167,48.25,87,100,3.38
190,Lewistown,US,2021-01-10 13:26:16,40.5992,-77.5714,32.0,69,1,5.75
191,Sinop,TR,2021-01-10 13:22:02,41.7711,34.8709,44.35,89,100,3.49
192,Torbay,CA,2021-01-10 13:26:16,47.6666,-52.7314,32.0,100,90,16.11
193,Livny,RU,2021-01-10 13:26:17,52.4253,37.6069,17.94,96,98,8.97
194,Esmeraldas,BR,2021-01-10 13:26:17,-19.7625,-44.3139,80.6,69,40,5.75
195,Rawson,AR,2021-01-10 13:26:17,-43.3002,-65.1023,69.22,33,100,22.26
196,Nicolas Bravo,MX,2021-01-10 13:26:17,18.45,-88.9167,62.6,88,1,2.3
197,Noyabrsk,RU,2021-01-10 13:26:17,63.1994,75.4507,-26.81,86,98,10.36
198,Seoni Malwa,IN,2021-01-10 13:26:17,22.45,77.4667,76.51,43,0,4.5
199,Dalby,AU,2021-01-10 13:26:17,-27.1833,151.2667,66.0,82,0,17.11
200,Chapais,CA,2021-01-10 13:26:17,49.7834,-74.8492,15.8,92,90,4.61
201,Sao Felix Do Xingu,BR,2021-01-10 13:26:12,-6.6447,-51.995,77.52,90,85,1.19
202,Esperance,AU,2021-01-10 13:26:17,-33.8667,121.9,62.6,88,75,16.11
203,Ukiah,US,2021-01-10 13:22:30,39.1502,-123.2078,46.99,87,90,1.74
204,Santa Cruz De La Palma,ES,2021-01-10 13:26:17,28.6835,-17.7642,66.2,63,20,21.85
205,Jutai,BR,2021-01-10 13:26:17,-5.1833,-68.9,77.49,81,54,1.99
206,Tabou,CI,2021-01-10 13:26:17,4.423,-7.3528,83.26,75,43,8.41
207,Araouane,ML,2021-01-10 13:26:17,18.9048,-3.5265,82.45,24,79,16.04
208,Pangnirtung,CA,2021-01-10 13:26:17,66.1451,-65.7125,6.4,83,100,0.83
209,Ponta Do Sol,PT,2021-01-10 13:26:17,32.6667,-17.1,57.0,74,60,3.0
210,Roald,NO,2021-01-10 13:26:17,62.5833,6.1333,35.6,55,40,12.66
211,Broken Hill,AU,2021-01-10 13:26:17,-31.95,141.4333,78.8,24,0,3.44
212,Gladstone,AU,2021-01-10 13:25:04,-23.85,151.25,75.2,69,90,11.5
213,Port Elizabeth,ZA,2021-01-10 13:26:18,-33.918,25.5701,71.6,60,90,12.66
214,Damietta,EG,2021-01-10 13:26:18,31.4165,31.8133,71.6,68,0,8.05
215,Guerrero Negro,MX,2021-01-10 13:26:18,27.9769,-114.0611,51.22,73,0,0.34
216,San Rafael,AR,2021-01-10 13:26:18,-34.6177,-68.3301,73.45,38,0,9.28
217,Juegang,CN,2021-01-10 13:26:18,32.3174,121.1855,35.01,49,100,5.95
218,La Ronge,CA,2021-01-10 13:26:18,55.1001,-105.2842,15.8,79,100,3.44
219,Kidal,ML,2021-01-10 13:26:18,18.4411,1.4078,94.28,9,0,11.83
220,Sucua,EC,2021-01-10 13:26:18,-2.4667,-78.1667,66.2,100,75,1.48
221,Bosaso,SO,2021-01-10 13:26:18,11.2842,49.1816,76.32,59,100,16.53
222,Tateyama,JP,2021-01-10 13:26:18,34.9833,139.8667,39.99,44,21,10.92
223,Sola,VU,2021-01-10 13:26:18,-13.8833,167.55,77.0,94,20,5.88
224,Ewa Beach,US,2021-01-10 13:26:18,21.3156,-158.0072,73.4,83,75,3.44
225,Tibati,CM,2021-01-10 13:26:18,6.4667,12.6333,95.68,10,76,5.14
226,Predivinsk,RU,2021-01-10 13:26:18,57.0669,93.4378,5.11,93,100,2.51
227,Hayden,US,2021-01-10 13:26:19,47.766,-116.7866,30.99,96,100,2.15
228,Talcahuano,CL,2021-01-10 13:26:19,-36.7167,-73.1167,59.0,82,90,12.66
229,Mecca,SA,2021-01-10 13:22:31,21.4267,39.8261,81.01,43,76,5.64
